Case,Model,Constraint,Parameter,final_online_accuracy_mean,final_online_accuracy_std,final_online_accuracy_min,final_online_accuracy_max,final_online_macrof1_mean,final_online_macrof1_std,final_online_macrof1_min,final_online_macrof1_max,final_online_weightedf1_mean,final_online_weightedf1_std,final_online_weightedf1_min,final_online_weightedf1_max,final_online_cohenkappa_mean,final_online_cohenkappa_std,final_online_cohenkappa_min,final_online_cohenkappa_max
strict_positive,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.9896539999999999,0.007230538292547792,0.965,0.9998,0.4383856639391347,0.11848002704724761,0.32972809056908925,0.6612472339649476,0.9866220967767484,0.009575182680831865,0.9541141041785215,0.999899989999,0.31125395267602884,0.35386429340749004,-0.00019817010473050268,0.9826291953595134
positive_noisy,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.6937760000000002,0.006301573136923824,0.6752,0.7076,0.46235439988744753,0.004195090587580129,0.4501762131598312,0.4715321768125354,0.6935788704780077,0.006289086923889903,0.675256157250441,0.7073528234148633,0.3876310099700339,0.012604841627900253,0.35061170058560914,0.41511685301182405
strict_negative,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.990864,0.006414351409144966,0.9628,0.9998,0.4575896457864186,0.1261633878258073,0.3270158277290945,0.6622548934893988,0.9884687830956415,0.008571352238125045,0.944748726309354,0.999899989999,0.3680372634776214,0.3772933484176091,-0.00019896431010444935,0.9857965067710235
opposing_trend,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.693014,0.0069195522976562614,0.6746,0.711,0.4617900001456297,0.004606814455967809,0.4497518075429114,0.47404699246410686,0.6927817503934299,0.006908557238250341,0.6747590005293688,0.7110758160425794,0.38591569765734945,0.013809694109716475,0.34966252001576476,0.4221712222234306
strict_positive,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.989978,0.007843157272425433,0.9578,0.9998,0.4464476378329902,0.12334022955348847,0.32962588473205257,0.6622548934893988,0.9870636078421121,0.01064030211850832,0.9427155356153613,0.999899989999,0.3352198146588586,0.3684676428342743,-0.00019822110200187675,0.9857965067710235
positive_noisy,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.69495,0.0063942708732114256,0.6766,0.7074,0.4631475636805853,0.004324017332851377,0.4511115431978741,0.47150979185879205,0.6947758933870665,0.006472581781927175,0.6766705995203837,0.707412850434905,0.389949168638234,0.012817269014942019,0.35336517639934056,0.4145326521902963
strict_negative,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.9911620000000002,0.0057565750233971565,0.9752,0.9998,0.4660453921308631,0.12456532712904769,0.33013629480060575,0.6551378044711378,0.9890195416705383,0.007248685405888771,0.9706986717102316,0.999899989999,0.3927852707110837,0.3731602789272164,-0.00019793390692154363,0.964449224048767
opposing_trend,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.6923400000000002,0.007512735853202877,0.667,0.7118,0.46137061784252303,0.005061298288992594,0.443858648340864,0.47443722251632564,0.6921577648340481,0.007579282680020792,0.6664593962335804,0.7115681350014138,0.38454771336186516,0.015049967971726632,0.3321645209694325,0.4241421356278344
strict_positive,HoeffdingTree,Negative,"rho=1e-05, stdevmul=2.0",0.991212,0.005963946344493716,0.9696,0.9998,0.4592321887255555,0.1267624110170496,0.3281884646628757,0.6622548934893988,0.9888521986201669,0.008093006773629317,0.9548315190901705,0.999899989999,0.37287320706144095,0.3791666317382106,-0.00019872369378786013,0.9857965067710235
positive_noisy,HoeffdingTree,Negative,"rho=1e-05, stdevmul=2.0",0.6926859999999999,0.00747091721276578,0.6714,0.7104,0.461638650249126,0.004999761290538617,0.4476239519376774,0.4729387910375233,0.6925277700511896,0.007489303902707309,0.6714018744305802,0.7092953900839934,0.3853624978521018,0.014949214769295395,0.3431484466120413,0.4213860202387023
