Case,Model,Constraint,Parameter,final_online_accuracy_mean,final_online_accuracy_std,final_online_accuracy_min,final_online_accuracy_max,final_online_macrof1_mean,final_online_macrof1_std,final_online_macrof1_min,final_online_macrof1_max,final_online_weightedf1_mean,final_online_weightedf1_std,final_online_weightedf1_min,final_online_weightedf1_max,final_online_cohenkappa_mean,final_online_cohenkappa_std,final_online_cohenkappa_min,final_online_cohenkappa_max
strict_positive,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.90337,0.009829196304886793,0.89,0.931,0.7169469498481307,0.13852446430643278,0.473407056345445,0.9267452933850999,0.9249611282220189,0.007998692452102546,0.9126666780610667,0.9473684210526315,0.45107187847518504,0.26236648584915995,-0.0019841269841267654,0.8541855098435348
positive_noisy,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.5864599999999999,0.0167220931704138,0.552,0.633,0.5849673624449704,0.016923810276346863,0.5504878410974519,0.632549873595154,0.5854459205826399,0.016825838919462054,0.5503314108661537,0.6323698230332157,0.1721189924370224,0.033719143415864405,0.10465539225287095,0.26686217008797647
strict_negative,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.9860899999999998,0.00856982496904109,0.961,1.0,0.8993388111395909,0.10948616681264418,0.49824385348720523,1.0,0.9856444814930607,0.008653416123845566,0.9605033862573963,1.0,0.7887626991689559,0.2318894684161008,-0.002865329512880903,0.9559566221665426
opposing_trend,HoeffdingTree,None,"rho=1e-05, stdevmul=2.0",0.58719,0.016252196774590204,0.547,0.635,0.5856204899753503,0.016367415165463778,0.5456255171894981,0.6335455422572189,0.5860431759330639,0.01636944071493885,0.5455255548032799,0.6336378887805701,0.17345666558234235,0.03240463518932661,0.09441294769585079,0.26964358607000216
strict_positive,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.90337,0.009829196304886793,0.89,0.931,0.7169469498481307,0.13852446430643278,0.473407056345445,0.9267452933850999,0.9249611282220189,0.007998692452102546,0.9126666780610667,0.9473684210526315,0.45107187847518504,0.26236648584915995,-0.0019841269841267654,0.8541855098435348
positive_noisy,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.5863700000000001,0.01634481875090697,0.557,0.635,0.5848942436522457,0.016538341365082723,0.5554789487530731,0.6344996299934611,0.585372283156563,0.01641577204982845,0.5554040016012024,0.6343103008017976,0.1719442888237333,0.032991707921155806,0.11293307371707208,0.27089825335187045
strict_negative,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.9853399999999999,0.008207581860694422,0.961,1.0,0.8807557184856263,0.13019521533661763,0.4972347913524384,1.0,0.9846683056226925,0.008190861770754886,0.9605033862573963,1.0,0.7517019238554112,0.2697803749627973,-0.003283473184962122,0.9559566221665426
opposing_trend,HoeffdingTree,Positive,"rho=1e-05, stdevmul=2.0",0.58698,0.01659998795180286,0.541,0.634,0.5854374950630706,0.01668051381771278,0.5393966397028055,0.632587666991917,0.5858608844196665,0.016664084940783943,0.5392879373097753,0.6326787852505029,0.17303595098410784,0.03313066047226023,0.08244776549044078,0.2676484712662078
strict_positive,HoeffdingTree,Negative,"rho=1e-05, stdevmul=2.0",0.90337,0.009829196304886793,0.89,0.931,0.7169469498481307,0.13852446430643278,0.473407056345445,0.9267452933850999,0.9249611282220189,0.007998692452102546,0.9126666780610667,0.9473684210526315,0.45107187847518504,0.26236648584915995,-0.0019841269841267654,0.8541855098435348
positive_noisy,HoeffdingTree,Negative,"rho=1e-05, stdevmul=2.0",0.5866399999999998,0.016449024287172778,0.555,0.636,0.585161322071598,0.01665508421451434,0.5534455439384498,0.635527643826399,0.5856420692467581,0.0165289978791948,0.553287463661004,0.6353439497588874,0.17247260357918173,0.033217468084535885,0.11066166771921696,0.27287545794862983
