dataset,constraint_config,accuracy,macrof1,constraint_violations_avoided,avg_constraint_satisfaction
spambase,word_freq_free+word_freq_money(+),0.994349054553358,0.9940968576053058,0,1.0
spambase,word_freq_hp+word_freq_george(-),0.9945663986089981,0.9943233684699675,0,1.0
spambase,No Constraints,0.994349054553358,0.9940968576053058,0,1.0
students,Distance(+),0.9497428705002338,0.7194033511617776,0,0.9239999999999999
students,Season(+),0.9477559607293128,0.7072713733545777,0,1.0
students,CarAvail(+),0.9488078541374474,0.7148572021624886,0,0.9992
students,Age(-),0.9492753623188406,0.7194457372540723,0,0.9346
students,Grade(-),0.9492753623188406,0.7181260262925212,0,0.9337000000000001
students,Gender(-),0.949041608228144,0.7174916052109034,0,0.9485999999999999
students,Distance+Season+CarAvail(+),0.9485741000467508,0.7128778477004235,0,0.9767999999999999
students,Age+Grade+Gender(-),0.9488078541374474,0.7148572021624886,0,0.9377666666666667
students,No Constraints,0.9486909770920992,0.7138687154508581,0,1.0
thoracic_surgery_data,FEV1(+),0.8425531914893617,0.4572748267898383,0,1.0
thoracic_surgery_data,Age(-),0.8468085106382979,0.45852534562211983,0,0.9342
thoracic_surgery_data,No Constraints,0.8404255319148937,0.4566473988439307,0,1.0
wine,Alcohol(+),0.8426966292134831,0.8462599854756717,0,0.9502999999999999
wine,Flavanoids(+),0.8426966292134831,0.8462599854756717,0,0.5137
wine,Ash(-),0.8426966292134831,0.8462599854756717,0,0.6675
wine,Alcohol+Flavanoids(+),0.8426966292134831,0.8462599854756717,0,0.7181000000000001
wine,No Constraints,0.8426966292134831,0.8462599854756717,0,1.0
